,Coord_centroid,Bbox,Label
51,"(1428.0412192902638, 574.9019108280255)","[1352, 1827, 1505, 1923]",1
52,"(1386.963759458383, 6150.899243329351)","[1352, 7384, 1426, 7520]",0
53,"(1416.438149328162, 1825.6453802465714)","[1372, 3061, 1466, 3191]",2
54,"(1456.4394093216429, 5459.778311029072)","[1380, 6714, 1538, 6804]",1
55,"(1464.2411954115516, 3124.990641980278)","[1386, 4382, 1545, 4464]",2
56,"(1438.9910830391975, 4259.794909901542)","[1388, 5490, 1493, 5632]",1
57,"(1469.3630600169063, 1049.6219357565512)","[1396, 2307, 1542, 2393]",1
58,"(1457.290519443656, 3556.1727221118367)","[1417, 4794, 1494, 4917]",1
59,"(1486.593059490085, 2651.015722379603)","[1438, 3886, 1538, 4016]",2
60,"(1799.3679593721145, 6480.747807017544)","[1725, 7740, 1876, 7819]",1
61,"(1833.469354684968, 2209.8833285673436)","[1751, 3467, 1911, 3555]",1
62,"(1849.8640754631208, 4687.746448460052)","[1797, 5920, 1902, 6050]",1
63,"(1872.891111707841, 441.8075993555317)","[1804, 1703, 1938, 1781]",1
64,"(1894.05655708731, 1737.2017202780723)","[1819, 3000, 1968, 3075]",1
65,"(1884.7626418988648, 919.7331564204629)","[1820, 2177, 1948, 2260]",1
66,"(1872.2952329941081, 1348.0226031065881)","[1822, 2577, 1922, 2715]",1
67,"(1898.4736125654451, 6068.367748691099)","[1825, 7328, 1973, 7411]",0
68,"(1909.2643101761253, 3520.502813111546)","[1848, 4765, 1972, 4875]",1
69,"(1924.9749289981391, 5362.884144549995)","[1848, 6614, 2000, 6711]",1
70,"(1933.0038321517532, 3004.42671009772)","[1861, 4250, 2006, 4356]",1
71,"(1935.676910384655, 3869.1876869134785)","[1889, 5102, 1982, 5239]",1
72,"(1964.849681108423, 4995.939740488234)","[1889, 6259, 2039, 6340]",1
73,"(1961.2424703707732, 4334.592258345113)","[1899, 5578, 2025, 5688]",1
74,"(1961.7876412266544, 2627.0715932672356)","[1917, 3859, 2005, 3992]",1
