Coord_centroid,Bbox,Label
"(897.6951772811292, 2210.5893127205513)","[851, 3461, 944, 3562]",0
"(934.2396781706542, 1895.9726868515775)","[865, 3152, 1007, 3240]",0
"(944.8623404833016, 2606.882161281564)","[887, 3839, 1003, 3975]",0
"(966.3201115587233, 3950.4198946389834)","[921, 5180, 1014, 5323]",0
"(972.7802994296578, 4299.3508792775665)","[926, 5536, 1021, 5664]",0
"(970.1289582377237, 3538.1763423588804)","[932, 4764, 1013, 4911]",0
"(1009.5411208151382, 1342.038816108685)","[950, 2591, 1074, 2693]",0
"(1038.7742508586996, 479.9037072130759)","[995, 1713, 1083, 1846]",0
"(1049.7454119484576, 938.8762202264741)","[997, 2203, 1106, 2275]",0
"(1212.7939292676135, 5524.291098115659)","[1138, 6777, 1290, 6873]",0
"(1277.2048502663972, 4767.710729377181)","[1203, 6012, 1349, 6124]",0
"(1314.2421765995614, 5970.413294797688)","[1237, 7224, 1388, 7318]",0
"(1304.5904810820066, 6503.779318609827)","[1247, 7730, 1362, 7876]",0
"(1286.2773395864422, 5102.106267320401)","[1248, 6326, 1326, 6477]",0
"(1328.2083075972823, 3476.582303891291)","[1262, 4742, 1395, 4811]",0
"(1344.0797470094872, 1761.116183143132)","[1279, 3012, 1406, 3113]",2
"(1353.9257867543447, 3108.7787693752935)","[1283, 4354, 1428, 4465]",0
"(1377.7965217391304, 525.5770251716248)","[1306, 1770, 1448, 1885]",0
"(1373.2241082939406, 1387.2118607649334)","[1307, 2636, 1442, 2738]",0
"(1354.0090689238211, 3915.982345828295)","[1308, 5150, 1401, 5283]",0
"(1389.245917026469, 4290.203773230712)","[1314, 5538, 1463, 5643]",0
"(1445.772150424962, 2239.1997904296195)","[1395, 3475, 1495, 3604]",0
"(1481.7615010423906, 2698.6143154968727)","[1405, 3969, 1562, 4032]",2
"(1502.3864403090652, 932.4834040700838)","[1453, 2169, 1553, 2297]",0
"(1621.7793287160362, 4723.805860415557)","[1565, 5961, 1680, 6085]",0
"(1658.525401206174, 5613.557804354493)","[1608, 6848, 1710, 6981]",0
"(1698.4150032615787, 6493.998956294847)","[1657, 7729, 1741, 7859]",0
"(1736.8387421665175, 5130.495971351836)","[1676, 6375, 1797, 6486]",0
"(1759.3368730808597, 587.6436796315251)","[1697, 1842, 1825, 1937]",0
"(1780.7110728505327, 6011.504142903261)","[1737, 7243, 1828, 7379]",0
"(1836.669632070291, 4335.425260845689)","[1766, 5591, 1911, 5680]",0
"(1823.2529505582138, 3983.6177565124935)","[1775, 5219, 1872, 5352]",0
"(1851.215165470708, 2613.31037806576)","[1784, 3865, 1923, 3961]",0
"(1836.3583267561169, 3012.6185872138913)","[1786, 4245, 1888, 4380]",0
"(1858.16862381541, 1416.4103831891223)","[1791, 2660, 1926, 2772]",0
"(1867.408012400143, 3502.372123524502)","[1796, 4767, 1945, 4842]",0
"(1854.2757470263998, 1045.78561067595)","[1799, 2298, 1909, 2394]",0
"(1872.2097658196312, 2164.5851519681114)","[1809, 3403, 1934, 3528]",0
"(1915.1509775524983, 1797.967414916727)","[1841, 3059, 1991, 3136]",0
