Coord_centroid,Bbox,Label
"(1161.4156130379306, 5269.6510845609555)","[1091, 6532, 1236, 6610]",0
"(1207.6026178545865, 5568.465691788527)","[1142, 6811, 1273, 6927]",0
"(1214.2607138288347, 6094.498528847384)","[1160, 7337, 1265, 7452]",0
"(1244.6376811594203, 4359.735713444091)","[1177, 5622, 1318, 5699]",0
"(1263.6494050242397, 4671.767739092111)","[1202, 5918, 1328, 6027]",0
"(1274.5407194604047, 3693.8225081189107)","[1203, 4956, 1347, 5030]",0
"(1252.8258172890555, 3105.4682775552396)","[1216, 4341, 1291, 4472]",0
"(1275.2672436401783, 3980.9508261211645)","[1227, 5221, 1324, 5340]",0
"(1306.5447903787795, 1045.8191525233224)","[1242, 2290, 1370, 2398]",0
"(1334.4268615345848, 2763.2417790097015)","[1267, 4020, 1400, 4107]",0
"(1321.5446580676564, 2333.83730834753)","[1275, 3572, 1369, 3697]",0
"(1385.0743847874721, 1861.125279642058)","[1324, 3104, 1445, 3219]",0
"(1371.4205245980902, 1545.3252749909343)","[1329, 2783, 1416, 2911]",0
"(1502.431292238378, 749.6471431497031)","[1433, 1999, 1572, 2099]",0
"(1590.9380958276588, 6586.567042218646)","[1520, 7848, 1664, 7924]",0
"(1605.5296793268137, 4747.555719808961)","[1533, 6006, 1682, 6088]",0
"(1593.3283032319391, 5714.016397338403)","[1540, 6958, 1652, 7073]",0
"(1620.1274403470716, 4350.5082700650755)","[1570, 5596, 1674, 5706]",0
"(1651.2728046833422, 3969.4121341138903)","[1582, 5222, 1721, 5317]",0
"(1632.528382873699, 5162.936903101191)","[1585, 6389, 1683, 6529]",0
"(1680.3183103276235, 5956.794279062032)","[1621, 7213, 1739, 7302]",2
"(1720.272417707151, 2274.6863791146425)","[1652, 3527, 1794, 3623]",0
"(1761.8512471655329, 3570.1937641723357)","[1693, 4826, 1832, 4914]",0
"(1760.96524649247, 1882.6283949028189)","[1713, 3126, 1814, 3236]",2
"(1788.5679734219268, 3065.9759468438538)","[1727, 4320, 1847, 4413]",0
"(1795.628593831678, 643.5950078410873)","[1728, 1905, 1865, 1984]",0
"(1848.8044768736088, 1090.3079396487756)","[1786, 2342, 1911, 2438]",0
"(1866.8104950495049, 1452.9077227722773)","[1814, 2686, 1920, 2820]",0
"(1911.5991527364324, 2695.222807419281)","[1867, 3932, 1957, 4060]",0
